country	company	title	location	posted	source	url
Argentina	Hire Feed	AWS Cloud Engineer (Remote)	Argentina	2026-06-15	Cloud Engineer	https://ar.linkedin.com/jobs/view/aws-cloud-engineer-remote-at-hire-feed-4428851182
Argentina	Quik Hire Staffing	AWS Cloud Engineer (Remote)	Argentina	2026-06-15	AWS Cloud Engineer	https://ar.linkedin.com/jobs/view/aws-cloud-engineer-remote-at-quik-hire-staffing-4428843930
Argentina	Quik Hire Staffing	DevOps Engineer (Remote)	Argentina	2026-06-15	DevOps	https://ar.linkedin.com/jobs/view/devops-engineer-remote-at-quik-hire-staffing-4428867016
Argentina	Soution	Project Manager JR - Remote	Greater Buenos Aires	2026-06-15	Technical Project Manager	https://ar.linkedin.com/jobs/view/project-manager-jr-remote-at-soution-4428883138
Chile	Hire Feed	Cloud Engineer (Remote)	Chile	2026-06-15	DevOps	https://cl.linkedin.com/jobs/view/cloud-engineer-remote-at-hire-feed-4428849699
Argentina	FullStack	Senior Technical Project Manager - Remote - Latin America	Mar del Plata, Buenos Aires Province, Argentina	2026-06-13	Project Manager IT	https://ar.linkedin.com/jobs/view/senior-technical-project-manager-remote-latin-america-at-fullstack-4418438193
Uruguay	FullStack	Azure DevOps Engineer - Remote - Latin America	Montevideo, Montevideo, Uruguay	2026-06-12	DevOps	https://uy.linkedin.com/jobs/view/azure-devops-engineer-remote-latin-america-at-fullstack-4418044120
Chile	Hire Feed	Cybersecurity Engineer (Remote)	Chile	2026-06-15	Security Engineer	https://cl.linkedin.com/jobs/view/cybersecurity-engineer-remote-at-hire-feed-4428839783
